date_,commodity_name,category,price_per_kg,price_per_unit,market_name,source
2022-05-15,Oil (palm),oil and fats,144.78,INR 144.78 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (palm),oil and fats,145.0,INR 145.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (palm),oil and fats,145.0,INR 145.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (soybean),oil and fats,143.0,INR 143.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (soybean),oil and fats,145.67,INR 145.67 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (soybean),oil and fats,146.0,INR 146.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (soybean),oil and fats,146.0,INR 146.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (sunflower),oil and fats,153.0,INR 153.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (sunflower),oil and fats,158.33,INR 158.33 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (sunflower),oil and fats,159.0,INR 159.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (sunflower),oil and fats,159.0,INR 159.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Onions,vegetables and fruits,25.36,INR 25.36 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Onions,vegetables and fruits,20.0,INR 20.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Onions,vegetables and fruits,20.0,INR 20.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Onions,vegetables and fruits,20.0,INR 20.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Potatoes,cereals and tubers,21.07,INR 21.07 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Potatoes,cereals and tubers,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Potatoes,cereals and tubers,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Potatoes,cereals and tubers,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Rice,cereals and tubers,38.0,INR 38.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Rice,cereals and tubers,39.79,INR 39.79 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Rice,cereals and tubers,40.0,INR 40.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Rice,cereals and tubers,40.0,INR 40.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Salt (iodised),miscellaneous food,15.0,INR 15.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Salt (iodised),miscellaneous food,19.47,INR 19.47 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Salt (iodised),miscellaneous food,20.0,INR 20.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Salt (iodised),miscellaneous food,20.0,INR 20.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Sugar,miscellaneous food,42.0,INR 42.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Sugar,miscellaneous food,44.68,INR 44.68 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Sugar,miscellaneous food,45.0,INR 45.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Sugar,miscellaneous food,45.0,INR 45.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Sugar (jaggery/gur),miscellaneous food,40.0,INR 40.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Sugar (jaggery/gur),miscellaneous food,43.58,INR 43.58 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Sugar (jaggery/gur),miscellaneous food,44.0,INR 44.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Sugar (jaggery/gur),miscellaneous food,44.0,INR 44.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Tea (black),miscellaneous food,297.0,INR 297.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Tea (black),miscellaneous food,335.47,INR 335.47 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Tea (black),miscellaneous food,340.0,INR 340.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Tea (black),miscellaneous food,340.0,INR 340.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Tomatoes,vegetables and fruits,27.5,INR 27.50 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Tomatoes,vegetables and fruits,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Tomatoes,vegetables and fruits,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Tomatoes,vegetables and fruits,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Wheat,cereals and tubers,24.0,INR 24.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Wheat,cereals and tubers,24.89,INR 24.89 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Wheat,cereals and tubers,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Wheat,cereals and tubers,25.0,INR 25.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Wheat flour,cereals and tubers,32.0,INR 32.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Wheat flour,cereals and tubers,34.68,INR 34.68 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Wheat flour,cereals and tubers,35.0,INR 35.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Wheat flour,cereals and tubers,35.0,INR 35.00 per KG,Gurgaon (HR-NCR),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Ghee (vanaspati),oil and fats,180.1,INR 180.10 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Ghee (vanaspati),oil and fats,189.9,INR 189.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Ghee (vanaspati),oil and fats,197.93,INR 197.93 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Ghee (vanaspati),oil and fats,195.81,INR 195.81 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils,pulses and nuts,106.9,INR 106.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils,pulses and nuts,105.55,INR 105.55 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils,pulses and nuts,110.4,INR 110.40 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils,pulses and nuts,115.55,INR 115.55 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils (masur),pulses and nuts,99.23,INR 99.23 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils (masur),pulses and nuts,101.58,INR 101.58 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils (masur),pulses and nuts,101.9,INR 101.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils (masur),pulses and nuts,101.74,INR 101.74 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils (moong),pulses and nuts,111.13,INR 111.13 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils (moong),pulses and nuts,115.84,INR 115.84 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils (moong),pulses and nuts,119.7,INR 119.70 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils (moong),pulses and nuts,120.39,INR 120.39 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils (urad),pulses and nuts,115.93,INR 115.93 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils (urad),pulses and nuts,117.58,INR 117.58 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils (urad),pulses and nuts,117.9,INR 117.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils (urad),pulses and nuts,119.32,INR 119.32 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Milk (pasteurized),milk and dairy,50.03,INR 50.03 per L,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Milk (pasteurized),milk and dairy,50.13,INR 50.13 per L,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Milk (pasteurized),milk and dairy,50.0,INR 50.00 per L,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Milk (pasteurized),milk and dairy,49.94,INR 49.94 per L,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (groundnut),oil and fats,188.7,INR 188.70 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (groundnut),oil and fats,186.74,INR 186.74 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (groundnut),oil and fats,191.57,INR 191.57 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (groundnut),oil and fats,196.84,INR 196.84 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (mustard),oil and fats,194.27,INR 194.27 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (mustard),oil and fats,199.35,INR 199.35 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (mustard),oil and fats,196.47,INR 196.47 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (mustard),oil and fats,188.29,INR 188.29 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (palm),oil and fats,155.93,INR 155.93 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (palm),oil and fats,158.55,INR 158.55 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (palm),oil and fats,158.1,INR 158.10 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (palm),oil and fats,151.35,INR 151.35 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (soybean),oil and fats,169.1,INR 169.10 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (soybean),oil and fats,182.23,INR 182.23 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (soybean),oil and fats,189.93,INR 189.93 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (soybean),oil and fats,176.71,INR 176.71 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Oil (sunflower),oil and fats,188.47,INR 188.47 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Oil (sunflower),oil and fats,196.35,INR 196.35 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Oil (sunflower),oil and fats,199.5,INR 199.50 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Oil (sunflower),oil and fats,187.55,INR 187.55 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Onions,vegetables and fruits,21.67,INR 21.67 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Onions,vegetables and fruits,19.26,INR 19.26 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Onions,vegetables and fruits,21.9,INR 21.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Onions,vegetables and fruits,23.87,INR 23.87 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Potatoes,cereals and tubers,24.47,INR 24.47 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Potatoes,cereals and tubers,26.68,INR 26.68 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Potatoes,cereals and tubers,29.9,INR 29.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Potatoes,cereals and tubers,35.9,INR 35.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Rice,cereals and tubers,35.23,INR 35.23 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Rice,cereals and tubers,34.42,INR 34.42 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Rice,cereals and tubers,34.3,INR 34.30 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Rice,cereals and tubers,34.06,INR 34.06 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Salt (iodised),miscellaneous food,23.9,INR 23.90 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Salt (iodised),miscellaneous food,24.81,INR 24.81 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Salt (iodised),miscellaneous food,25.0,INR 25.00 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Salt (iodised),miscellaneous food,25.0,INR 25.00 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Sugar,miscellaneous food,42.57,INR 42.57 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Sugar,miscellaneous food,42.06,INR 42.06 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Sugar,miscellaneous food,41.53,INR 41.53 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Sugar,miscellaneous food,40.97,INR 40.97 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Sugar (jaggery/gur),miscellaneous food,67.03,INR 67.03 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Sugar (jaggery/gur),miscellaneous food,64.45,INR 64.45 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Sugar (jaggery/gur),miscellaneous food,64.5,INR 64.50 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Sugar (jaggery/gur),miscellaneous food,64.68,INR 64.68 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Tea (black),miscellaneous food,319.03,INR 319.03 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Tea (black),miscellaneous food,315.81,INR 315.81 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Tea (black),miscellaneous food,315.0,INR 315.00 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Tea (black),miscellaneous food,313.87,INR 313.87 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Tomatoes,vegetables and fruits,33.37,INR 33.37 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Tomatoes,vegetables and fruits,58.06,INR 58.06 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Tomatoes,vegetables and fruits,72.77,INR 72.77 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Tomatoes,vegetables and fruits,37.55,INR 37.55 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Wheat,cereals and tubers,35.17,INR 35.17 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Wheat,cereals and tubers,36.35,INR 36.35 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Wheat,cereals and tubers,40.37,INR 40.37 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Wheat,cereals and tubers,40.29,INR 40.29 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Wheat flour,cereals and tubers,49.87,INR 49.87 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Wheat flour,cereals and tubers,53.0,INR 53.00 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Wheat flour,cereals and tubers,60.4,INR 60.40 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Wheat flour,cereals and tubers,59.29,INR 59.29 per KG,Mumbai (Mumbai),UN WFP / Ministry of Consumer Affairs India
